Real                           Imaginary          
1111111000                     0000011110
1111111111                     1111111000
0000001100                     1111100100
0000000100                     0000001110
0000110000                     1111011101
0000001110                     0000010001
1111100111                     1111111100
1111110111                     1111101010
1111111010                     1111111100
1111110010                     1111101000
1111110011                     1111111000
0000010010                     1111110010
1111111001                     1111110001
1111001010                     0000011011
0000001101                     1111010011
1111011100                     0000110011
0000101000                     1110111101
1111001101                     0001010101
0000110111                     1111001000
1111110010                     0001001101
0000010100                     1111101101
0000010010                     0000100001
1111110110                     0000001101
1111010111                     1111111000
0000011111                     1111100110
0000001101                     0000000001
0000000101                     0000000000
0001000100                     0000001001
0000011110                     0000010000
1111101010                     0000001010
1111100111                     1111110101
1110111000                     0000001000
0000101100                     1110100111
1111110011                     0000010110
1111110001                     1111001100
0000001101                     0000001101
0000001001                     1111111110
1111001111                     0000000111
1111101110                     1111110100
1111011010                     0000001101
1111101101                     1111010111
1111101000                     0000100101
0000101111                     1111001010
1110101100                     0001000101
0000000101                     1110111001
1111010000                     0000110101
1111011011                     1111001111
1111101010                     0000010100
0000110101                     1111100110
1111010100                     0000101111
0000001001                     1111101111
1111110011                     0000110011
1111111001                     1111101011
1111100100                     0000011101
0000010000                     1111110001
1111111101                     0000001011
0000010101                     1111111111
0000011010                     0000010000
0000010010                     0000010011
0000011011                     0000001110
0000011000                     0000010110
0000010010                     0000001000
0000010011                     0000001011
0000011111                     0000000001
