Cycle number     output_valid     output_value     
0                     0           dont care
1                     0           dont care
2                     0           dont care
3                     0           dont care
4                     0           dont care
5                     0           dont care
6                     1           011111111
7                     1           100000000
8                     1           000000001
9                     1           000000001
10                     1           011111111
11                     1           000000001
12                     1           000010001
13                     1           111110010
14                     1           000000001
15                     1           011111111
16                     1           000000001
17                     1           011111111
18                     0           dont care
19                     1           000000001
20                     0           dont care
21                     0           dont care
22                     1           100011001
23                     0           dont care
24                     1           011101011
25                     1           011111111
26                     1           000000001
27                     1           000000001
28                     0           dont care
29                     0           dont care
30                     1           000000001
31                     1           000000001
32                     0           dont care
33                     1           111111111
34                     1           000000001
35                     1           111111101
36                     1           011111111
37                     0           dont care
38                     1           001110110
39                     0           dont care
40                     0           dont care
41                     1           000000101
42                     1           111011001
43                     0           dont care
44                     0           dont care
45                     1           011011110
46                     1           000001001
47                     1           111111110
48                     1           000000001
49                     0           dont care
50                     1           000000000
51                     1           000000001
52                     0           dont care
53                     0           dont care
54                     1           111101000
55                     1           111101000
56                     0           dont care
57                     0           dont care
58                     1           001100100
59                     0           dont care
60                     1           000000101
61                     0           dont care
62                     1           111111001
63                     1           100000000
64                     1           000000001
65                     0           dont care
66                     1           000000001
67                     1           000010000
68                     0           dont care
69                     1           101100000
70                     1           000000001
71                     1           000000010
72                     0           dont care
73                     0           dont care
74                     1           010101110
75                     1           100101111
76                     0           dont care
77                     1           111110111
78                     1           000000001
79                     1           110000100
80                     1           000000101
81                     0           dont care
82                     0           dont care
83                     0           dont care
84                     1           010101010
85                     0           dont care
86                     0           dont care
87                     0           dont care
88                     1           011110000
89                     1           010101111
90                     0           dont care
91                     1           101001000
92                     1           100101001
93                     1           011111111
94                     0           dont care
95                     0           dont care
96                     1           000000001
97                     1           011001100
98                     0           dont care
99                     0           dont care
100                     0           dont care
101                     1           000000001
102                     0           dont care
103                     1           000000001
104                     0           dont care
105                     0           dont care
106                     0           dont care
107                     0           dont care
108                     1           000000101
109                     1           011110000
110                     0           dont care
111                     1           101100010
112                     0           dont care
113                     0           dont care
114                     1           000000001
115                     0           dont care
116                     0           dont care
117                     1           000000001
118                     0           dont care
119                     1           100100101
120                     1           000000001
121                     0           dont care
122                     1           111111101
123                     0           dont care
124                     1           100000100
125                     0           dont care
126                     0           dont care
127                     1           111111000
128                     1           000000001
129                     0           dont care
130                     1           001000111
131                     1           000000011
132                     1           011001001
133                     1           111110111
134                     1           011010011
135                     0           dont care
136                     1           011001101
137                     1           000000001
138                     1           101100110
139                     1           111111100
140                     1           011001010
141                     0           dont care
142                     1           000000001
143                     0           dont care
144                     0           dont care
145                     0           dont care
146                     1           001010010
147                     0           dont care
148                     0           dont care
149                     0           dont care
150                     0           dont care
151                     1           010000001
152                     1           000001111
153                     1           000000001
154                     1           111111111
155                     1           101001010
156                     0           dont care
157                     1           000000001
158                     1           110101000
159                     1           000000101
160                     0           dont care
161                     0           dont care
162                     1           100100100
163                     0           dont care
164                     0           dont care
165                     1           000000001
166                     1           101110110
167                     0           dont care
168                     0           dont care
169                     1           111111110
170                     0           dont care
171                     0           dont care
172                     0           dont care
173                     1           000000001
174                     1           000000001
175                     0           dont care
176                     1           000000001
177                     0           dont care
178                     1           011111111
179                     1           110001101
180                     1           000000001
181                     1           111111101
182                     1           111011001
183                     1           000000001
184                     0           dont care
185                     0           dont care
186                     0           dont care
187                     0           dont care
188                     1           000000001
189                     1           000001100
190                     1           011111010
191                     1           000001101
192                     0           dont care
193                     0           dont care
194                     0           dont care
195                     1           000000001
196                     1           000001100
197                     0           dont care
198                     0           dont care
199                     0           dont care
200                     1           010111101
201                     1           111111111
202                     0           dont care
203                     1           010010111
204                     1           111111101
205                     0           dont care
206                     1           111001110
207                     0           dont care
208                     0           dont care
209                     0           dont care
210                     0           dont care
211                     0           dont care
212                     1           000001100
213                     0           dont care
214                     0           dont care
215                     1           110001101
216                     1           000000001
217                     0           dont care
218                     0           dont care
219                     0           dont care
220                     0           dont care
221                     1           000000001
222                     0           dont care
223                     0           dont care
224                     0           dont care
225                     1           000000001
226                     0           dont care
227                     1           101111100
228                     1           011000100
229                     0           dont care
230                     0           dont care
231                     0           dont care
232                     1           000000110
233                     1           000000001
234                     0           dont care
235                     0           dont care
236                     1           110110000
237                     0           dont care
238                     1           000000011
239                     1           110000101
240                     1           011111111
241                     0           dont care
242                     0           dont care
243                     0           dont care
244                     0           dont care
245                     0           dont care
246                     0           dont care
247                     1           000000001
248                     1           000000001
249                     1           110110111
250                     0           dont care
251                     1           000000001
252                     0           dont care
253                     1           000011000
254                     1           011111111
255                     0           dont care
256                     1           101110010
257                     1           010111001
258                     1           111110001
259                     1           000000001
260                     0           dont care
261                     0           dont care
262                     0           dont care
263                     0           dont care
264                     0           dont care
265                     0           dont care
266                     0           dont care
267                     1           011111111
268                     0           dont care
269                     1           000001001
270                     1           000000001
271                     1           000110010
272                     0           dont care
273                     0           dont care
274                     1           000000001
275                     0           dont care
276                     0           dont care
277                     0           dont care
278                     1           000000001
279                     0           dont care
280                     0           dont care
281                     0           dont care
282                     1           100000000
283                     1           010010000
284                     1           111000011
285                     0           dont care
286                     1           111111110
287                     1           000000110
288                     0           dont care
289                     0           dont care
290                     1           000000001
291                     0           dont care
292                     0           dont care
293                     0           dont care
294                     0           dont care
295                     0           dont care
296                     1           100011101
297                     0           dont care
298                     0           dont care
299                     1           010010010
300                     0           dont care
301                     1           000000001
302                     0           dont care
303                     1           111111110
304                     1           101000101
305                     1           000000001
306                     0           dont care
307                     1           000011111
308                     0           dont care
309                     1           011111111
310                     1           000001100
311                     0           dont care
312                     1           000000001
313                     1           000111101
314                     1           000000000
315                     0           dont care
316                     1           001010110
317                     0           dont care
318                     1           000000001
319                     1           011111111
320                     0           dont care
321                     1           000000001
322                     0           dont care
323                     1           111111110
324                     1           000000001
325                     1           001111010
326                     0           dont care
327                     0           dont care
328                     1           101000111
329                     0           dont care
330                     0           dont care
331                     0           dont care
332                     1           100000000
333                     0           dont care
334                     1           001101001
335                     1           110111100
336                     0           dont care
337                     0           dont care
338                     0           dont care
339                     0           dont care
340                     0           dont care
341                     1           010110001
342                     0           dont care
343                     1           011111111
344                     1           111111100
345                     0           dont care
346                     0           dont care
347                     0           dont care
348                     1           000000011
349                     1           111110111
350                     0           dont care
351                     0           dont care
352                     1           000101101
353                     1           000000001
354                     0           dont care
355                     1           000000001
356                     1           000000001
357                     0           dont care
358                     1           110001011
359                     0           dont care
360                     0           dont care
361                     1           001010111
362                     0           dont care
363                     1           011110011
364                     0           dont care
365                     0           dont care
366                     1           011010110
367                     0           dont care
368                     0           dont care
369                     0           dont care
370                     0           dont care
371                     0           dont care
372                     0           dont care
373                     0           dont care
374                     1           000000001
375                     1           111111101
376                     1           111111101
377                     1           101111101
378                     1           000000100
379                     1           000000001
380                     1           000000001
381                     0           dont care
382                     1           000000001
383                     0           dont care
384                     0           dont care
385                     0           dont care
386                     0           dont care
387                     1           000000011
388                     1           000000001
389                     0           dont care
390                     0           dont care
391                     0           dont care
392                     0           dont care
393                     1           000000011
394                     0           dont care
395                     0           dont care
396                     0           dont care
397                     0           dont care
398                     1           111111110
399                     0           dont care
400                     0           dont care
401                     0           dont care
402                     1           011001111
403                     0           dont care
404                     1           000000011
405                     1           000000001
406                     1           000111100
407                     0           dont care
408                     1           000001001
409                     1           000000001
410                     1           110111111
411                     0           dont care
412                     0           dont care
413                     0           dont care
414                     1           010000111
415                     1           000000001
416                     1           111111101
417                     1           000000011
418                     0           dont care
419                     0           dont care
420                     1           000000011
421                     0           dont care
422                     1           000000001
423                     0           dont care
424                     1           000000001
425                     0           dont care
426                     1           000000001
427                     0           dont care
428                     0           dont care
429                     0           dont care
430                     1           111111100
431                     0           dont care
432                     0           dont care
433                     1           000000001
434                     1           111111011
435                     1           000000100
436                     1           110100000
437                     1           111010100
438                     0           dont care
439                     1           000000001
440                     0           dont care
441                     1           111111111
442                     1           000000100
443                     0           dont care
444                     0           dont care
445                     1           000000001
446                     0           dont care
447                     1           000000101
448                     0           dont care
449                     1           100011010
450                     0           dont care
451                     1           000000001
452                     0           dont care
453                     0           dont care
454                     0           dont care
455                     0           dont care
456                     0           dont care
457                     0           dont care
458                     0           dont care
459                     0           dont care
460                     0           dont care
461                     0           dont care
462                     1           111111101
463                     1           011111111
464                     0           dont care
465                     0           dont care
